vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
10 - Fabian Retamosa;1101-DOCILE PUNTA BALLENA;27088-DOCIGOMA GAJITOS 500gs (20) DOCILE;60;1;0;1;59;1.67;76
10 - Fabian Retamosa;1101-DOCILE PUNTA BALLENA;27090-DOCIGOMA TUBO SURTIDO 500gs (20) DOCILE;37;4;0;4;33;10.81;308
10 - Fabian Retamosa;1101-DOCILE PUNTA BALLENA;27092-DOCILE BANANA 500gs (12) DOCILE;21;2;0;2;19;9.52;264
10 - Fabian Retamosa;1101-DOCILE PUNTA BALLENA;27093-DOCILE BESO 500G;23;1;0;1;22;4.35;130
10 - Fabian Retamosa;1101-DOCILE PUNTA BALLENA;27091-DOCILE MORAS 500gs (12) DOCILE;22;1;0;1;21;4.55;130
10 - Fabian Retamosa;1101-DOCILE PUNTA BALLENA;80158-DOCILE SANDIA ACIDA 80G (24);31;4;0;4;27;12.9;136
10 - Fabian Retamosa;1102-Punta Ballena Alfajores;27005-PUNTA BA. ALFAJOR  TRIPLE NIEVE X12;24;1;1.58;2.58;21.42;10.75;863.78
10 - Fabian Retamosa;1102-Punta Ballena Alfajores;27013-PUNTA BA. ALFAJOR COCOLATE  X8 (12);69;0;0.67;0.67;68.33;0.97;193.94
10 - Fabian Retamosa;1102-Punta Ballena Alfajores;27003-PUNTA BA. ALFAJOR PLAY CHOCO X12;71;1;0.4;1.4;69.6;1.97;304.8
10 - Fabian Retamosa;1102-Punta Ballena Alfajores;27004-PUNTA BA. ALFAJOR PLAY NIEVE X12;29;0;1.29;1.29;27.71;4.45;295.18
10 - Fabian Retamosa;1102-Punta Ballena Alfajores;27148-PUNTA BA. ALFAJOR SALCHICHON BLANCO X8 (12);2;0;1.95;1.95;0.05;97.5;805.35
