vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;660-Condimentos Del Gaucho;24767-ADOBO DEL GAUCHO 250g DP;1;1;0;1;0;100;139
1 - Jorge;660-Condimentos Del Gaucho;24769-AJO Y PEREJIL DEL GAUCHO 250g DP;2;2;0;2;0;100;348
1 - Jorge;660-Condimentos Del Gaucho;24720-CHIMICHURRI DEL GAUCHO x350g FRASCO;11;2;0;2;9;18.18;202
1 - Jorge;660-Condimentos Del Gaucho;25705-SAL PARRILLERA DEL GAUCHO.350 BOTELLA;97;10;0;10;87;10.31;1030
1 - Jorge;662-Condimentos Arrecife;24725-ADOBO PARRILLERO ARRECIFE 500g BOT.;44;2;0;2;42;4.55;140
1 - Jorge;662-Condimentos Arrecife;24726-AJO Y PEREJIL ARRECIFE x500g BOT.;49;5;0;5;44;10.2;350
1 - Jorge;662-Condimentos Arrecife;24727-CHIMICHURRI ARRECIFE x500g BOT.;60;5;0;5;55;8.33;350
1 - Jorge;662-Condimentos Arrecife;24728-CHIMICHURRI HOT ARRECIFE 500g BOT.;13;4;0;4;9;30.77;280
1 - Jorge;663-Aderezos Del Gaucho;24765-BARBACOA C/MIEL DEL GAUCHO 100grs x14 sachet;7;1;0;1;6;14.29;420
1 - Jorge;663-Aderezos Del Gaucho;24739-KETCHUP DEL GAUCHO x60g DP(Cx12);39;13;0;13;26;33.33;3068.01
1 - Jorge;664-Conservas Del Gaucho;24713-AJIES CATALANES DEL GAUCHO x290g FRASCO;33;3;0;3;30;9.09;375
1 - Jorge;664-Conservas Del Gaucho;24715-HONGOS EN VINAGRE DEL GAUCHO x350g FRASCO;14;2;0;2;12;14.29;250
1 - Jorge;664-Conservas Del Gaucho;24709-MIXED PICKLES DEL GAUCHO x350g FRASCO;37;5;0;5;32;13.51;650
1 - Jorge;664-Conservas Del Gaucho;24711-MORRONES VINAGRE DEL GAUCHOx350g FRASCO;20;2;0;2;18;10;250
1 - Jorge;665-Conservas Del Gaucho Gastronómico;24705-ACEITUNA C/CAROZO DEL GAUCHO 1kg DP;3;1;0;1;2;33.33;241
1 - Jorge;665-Conservas Del Gaucho Gastronómico;24718-HONGOS ESCABECHE DEL GAUCHO 900g DP;21;1;0;1;20;4.76;330
1 - Jorge;800-FRESH UP;440419-FRESH UP  TEENS 90G;26;24;0;24;2;92.31;2880.01
1 - Jorge;801-ARTICULOS ESCOLARES;150101-LA GOTITA 2ml;11;6;0;6;5;54.55;444
1 - Jorge;999-Sin calificar;2036-DTOS. OTORGADOS;0;165.91;0;165.91;-165.91;100;74718.96
1 - Jorge;1009-carbon;30100-CARBON 3 KG LAPACHO;650;25;0;25;625;3.85;2249.99
1 - Jorge;1012-Aceites Garzon;30133-ACEITE OLIVA EXTRA V. ITAL 500 ML;31;7;0;7;24;22.58;3430
1 - Jorge;1012-Aceites Garzon;30135-ACEITE OLIVA VIRGEN ITAL 250ML;33;3;0;3;30;9.09;906
1 - Jorge;1012-Aceites Garzon;30134-ACEITE OLIVA VIRGEN TRIV.250ML;7;1;0;1;6;14.29;302
1 - Jorge;1014-Dairyco x5lt;24082-DAIRYCO NAR ZANAHO LIGHT 5L X4;4;4;0;4;0;100;2164
1 - Jorge;1014-Dairyco x5lt;24079-DAIRYCO NARANJA 5L X4;5;0;2;2;3;40;946
1 - Jorge;1014-Dairyco x5lt;24080-DAIRYCO NARANJA LIGHT 5L X4;67;6;1;7;60;10.45;3298.45
1 - Jorge;1015-LEOPOLDO GROSS;25072-ROQUEFORT SANTA ROSA;27.4;0;0.9;0.9;26.5;3.28;687.42
